Console,GameName,Review,Score
PC,Battle Realms: Winter of the Wolf Review,Good,7
PC,The Cameron Files: Pharaoh's Curse Review,Mediocre,5
PC,WWE Raw Review,Mediocre,5
PS2,Dead to Rights Review,Good,7
PS2,Mortal Kombat: Deadly Alliance Review,Great,8
XBOX,Mortal Kombat: Deadly Alliance Review,Great,8
PS2,Whirl Tour Review,Fair,6
XBOX,Rocky Review,Mediocre,5
XBOX,Jedi Knight II: Jedi Outcast Review,Great,8
XBOX,NHL 2K3 Review,Great,8
PS2,Rocky Review,Mediocre,5
PS2,Robot Alchemic Drive Review,Good,7
PS2,NHL 2K3 Review,Great,8
XBOX,Unreal Championship Review,Great,8
PS2,Activision Anthology Review,Good,7
PS2,Spyro: Enter the Dragonfly Review,Terrible,2
XBOX,FIFA 2003 Review,Great,8
PC,MechWarrior 4: Mercenaries Review,Good,7
PS2,FIFA 2003 Review,Great,8
XBOX,Phantom Crash Review,Good,7
PC,Tiger Woods PGA Tour 2003 Review,Superb,9
XBOX,Medal of Honor Frontline Review,Great,8
XBOX,Serious Sam Review,Great,8
PC,Deadly Dozen: Pacific Theater Review,Great,8
PS2,NASCAR: Dirt to Daytona Review,Great,8
PC,G.I. Combat: Episode 1: Battle of Normandy Review,Bad,3
PS2,Twisted Metal: Black Online Review,Great,8
PS2,Jet X2O Review,Good,7
PS2,Wreckless Review,Mediocre,5
PC,Robin Hood: The Legend of Sherwood Review,Great,8
PC,O.R.B. Review,Good,7
PC,DarkSpace Review,Good,7
PS2,BMX XXX Review,Mediocre,5
XBOX,Zapper Review,Fair,6
PS2,Zapper Review,Fair,6
XBOX,Kakuto Chojin Review,Mediocre,5
PC,Dogs Playing Poker Review,Fair,6
PC,Civilization III: Play the World Review,Mediocre,5
PC,Soldiers of Anarchy Review,Great,8
XBOX,Metal Gear Solid 2: Substance Review,Great,8
PS2,NBA Starting Five Review,Poor,4
PC,EverQuest: The Planes of Power Review,Good,7
XBOX,MechAssault Review,Superb,9
PC,Rallisport Challenge Review,Great,8
PS2,WWE SmackDown! Shut Your Mouth Review,Great,8
PS2,Shinobi Review,Good,7
XBOX,Toxic Grind Review,Bad,3
PC,FIFA 2003 Review,Superb,9
XBOX,Dynasty Warriors 3 Review,Good,7
XBOX,NHL 2003 Review,Great,8
PS2,V-Rally 3 Review,Good,7
XBOX,NBA Inside Drive 2003 Review,Good,7
PS2,Disney Golf Review,Good,7
PC,Beam Breakers Review,Mediocre,5
PC,Football Mogul 2003 Review,Poor,4
XBOX,Sneakers Review,Bad,3
PC,Strike Fighters: Project 1 Review,Fair,6
PC,Age of Mythology Review,Superb,9
PS2,Ratchet & Clank Review,Superb,9
XBOX,TransWorld Snowboarding Review,Good,7
PS2,NHL FaceOff 2003 Review,Poor,4
XBOX,Pac-Man World 2 Review,Good,7
PS2,The Lord of the Rings: The Fellowship of the Ring Review,Mediocre,5
PS2,Defender Review,Fair,6
PS2,Suikoden III Review,Superb,9
XBOX,Defender Review,Fair,6
PC,Scrabble Complete Review,Good,7
PC,Zoo Tycoon: Marine Mania Review,Fair,6
PC,Wheel of Fortune 2003 Review,Fair,6
PS2,Silent Scope 3 Review,Mediocre,5
PS2,Tiger Woods PGA Tour 2003 Review,Great,8
XBOX,Tiger Woods PGA Tour 2003 Review,Great,8
PS2,NBA ShootOut 2003 (PS2) Review,Mediocre,5
PC,Iron Storm Review,Good,7
PC,Combat Mission: Barbarossa to Berlin Review,Superb,9
PS2,DDRMAX Review,Good,7
PS2,Grand Theft Auto: Vice City Review,Superb,9
XBOX,Deathrow Review,Great,8
PS2,BloodRayne Review,Good,7
PC,NASCAR Thunder 2003 Review,Mediocre,5
PC,Jeopardy! 2003 Review,Good,7
XBOX,Baldur's Gate: Dark Alliance Review,Great,8
PS2,X-Men: Next Dimension Review,Fair,6
PS2,Taz Wanted Review,Mediocre,5
XBOX,Taz Wanted Review,Mediocre,5
PC,Combat Flight Simulator 3: Battle for Europe Review,Good,7
PC,Conflict: Desert Storm Review,Poor,4
PC,Hoyle Puzzle Games Review,Good,7
PC,The Lord of the Rings: The Fellowship of the Ring Review,Mediocre,5
PS2,Contra: Shattered Soldier Review,Good,7
